rank,combo_id,n_estimators,max_depth,learning_rate,num_leaves,theoretical_max_leaves,Val_RMSE_KRW,Val_MAE_KRW,Val_R2,Train_R2,Overfit_Gap_R2,redundancy_status
1,37,100,3,0.03,15,8,289168.1,138466.0,0.346,0.557,0.211,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
2,38,100,3,0.03,31,8,289168.1,138466.0,0.346,0.557,0.211,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
3,39,100,3,0.03,63,8,289168.1,138466.0,0.346,0.557,0.211,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
4,4,50,3,0.05,15,8,289942.3,139622.3,0.3425,0.5428,0.2003,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
5,5,50,3,0.05,31,8,289942.3,139622.3,0.3425,0.5428,0.2003,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
6,6,50,3,0.05,63,8,289942.3,139622.3,0.3425,0.5428,0.2003,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
7,73,200,3,0.03,15,8,290378.3,138165.2,0.3405,0.6069,0.2664,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
8,74,200,3,0.03,31,8,290378.3,138165.2,0.3405,0.6069,0.2664,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
9,75,200,3,0.03,63,8,290378.3,138165.2,0.3405,0.6069,0.2664,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
10,40,100,3,0.05,15,8,290389.8,138422.4,0.3405,0.5952,0.2547,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
11,41,100,3,0.05,31,8,290389.8,138422.4,0.3405,0.5952,0.2547,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
12,42,100,3,0.05,63,8,290389.8,138422.4,0.3405,0.5952,0.2547,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
13,7,50,3,0.1,15,8,290390.2,138421.3,0.3405,0.5944,0.2539,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
14,8,50,3,0.1,31,8,290390.2,138421.3,0.3405,0.5944,0.2539,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
15,9,50,3,0.1,63,8,290390.2,138421.3,0.3405,0.5944,0.2539,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
16,13,50,5,0.05,15,15,291348.9,140082.9,0.3361,0.5837,0.2475,유효 설정
